species,size,family,fg,habitat,true_spp,trophic_level
Centropyge_flavicauda,8,Pomacanthidae,Micro-invertivore,Reef,Centropyge_flavicauda,-999
Centropyge_flavissima,14,Pomacanthidae,Micro-invertivore,Reef,Centropyge_flavissima,-999
Centropyge_heraldi,10,Pomacanthidae,Micro-invertivore,Reef,Centropyge_heraldi,-999
Centropyge_hotumatua,8,Pomacanthidae,Micro-invertivore,Reef,Centropyge_hotumatua,-999
Centropyge_interruptus,15,Pomacanthidae,Micro-invertivore,Reef,Centropyge_interruptus,-999
Centropyge_loricula,15,Pomacanthidae,Micro-invertivore,Reef,Centropyge_loricula,-999
Centropyge_loriculus,8,Pomacanthidae,Micro-invertivore,Reef,Centropyge_loriculus,-999
Centropyge_multifasciata,12,Pomacanthidae,Micro-invertivore,Reef,Centropyge_multifasciata,-999
Centropyge_multispinis,14,Pomacanthidae,Micro-invertivore,Reef,Centropyge_multispinis,-999
Centropyge_potteri,10,Pomacanthidae,Micro-invertivore,Reef,Centropyge_potteri,-999
Centropyge_shepardi,9,Pomacanthidae,Micro-invertivore,Reef,Centropyge_shepardi,-999
Centropyge_sp,12,Pomacanthidae,Micro-invertivore,Reef,Centropyge_sp,-999
Centropyge_sp.,12,Pomacanthidae,Micro-invertivore,Reef,Centropyge_sp,-999
Centropyge_vrolikii,12,Pomacanthidae,Micro-invertivore,Reef,Centropyge_vrolikii,-999
Cephalopholis_argus,60,Serranidae,Pisci-invertivore,Reef,Cephalopholis_argus,4.5
Cephalopholis_cruentatus,42,Serranidae,Pisci-invertivore,Reef,Cephalopholis_cruentatus,-999
Cephalopholis_cyanostigma,40,Serranidae,Pisci-invertivore,Reef,Cephalopholis_cyanostigma,-999
Cephalopholis_formosa,34,Serranidae,Pisci-invertivore,Reef,Cephalopholis_formosa,-999
Cephalopholis_fulvus,41,Serranidae,Pisci-invertivore,Reef,Cephalopholis_fulvus,-999
Cephalopholis_leopardus,24,Serranidae,Pisci-invertivore,Reef,Cephalopholis_leopardus,-999
Cephalopholis_microprion,25,Serranidae,Pisci-invertivore,Reef,Cephalopholis_microprion,-999
Cephalopholis_miniata,50,Serranidae,Pisci-invertivore,Reef,Cephalopholis_miniata,4.4
Cephalopholis_nigripinnis,28,Serranidae,Pisci-invertivore,Reef,Cephalopholis_nigripinnis,-999
Cephalopholis_sexmaculata,50,Serranidae,Pisci-invertivore,Reef,Cephalopholis_sexmaculata,4.5
Cephalopholis_sonnerati,57,Serranidae,Pisci-invertivore,Reef,Cephalopholis_sonnerati,-999
Cephalopholis_sp,50,Epinephilidae,Pisci-invertivore,Reef,Cephalopholis_sp,-999
Cephalopholis_spiloparaea,30,Serranidae,Pisci-invertivore,Reef,Cephalopholis_spiloparaea,-999
Cephalopholis_urodeta,28,Serranidae,Pisci-invertivore,Reef,Cephalopholis_urodeta,-999
Cephalopholus_argus,60,Serranidae,Pisci-invertivore,Reef,Cephalopholis_argus,4.5
Cephalopholus_urodeta,28,Serranidae,Pisci-invertivore,Reef,Cephalopholis_urodeta,-999
Cetoscarus_bicolor,90,Scaridae,Excavator/scraper,Reef,Cetoscarus_bicolor,-999
Cetoscarus_ocellatus,80,Scaridae,Excavator/scraper,Reef,Cetoscarus_ocellatus,-999
Chaetodipterus_faber,91,Ephippidae,NA,Pelagic,Chaetodipterus_faber,4.5
Chaetodon_aculeatus,10,Chaetodontidae,Micro-invertivore,Reef,Prognathodes_aculeatus,3.2
Chaetodon_aureofasciatus,12.5,Chaetodontidae,Corallivore,Reef,Chaetodon_aureofasciatus,-999
Chaetodon_auriga,23,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_auriga,3.2
Chaetodon_baronessa,16,Chaetodontidae,Corallivore,Reef,Chaetodon_baronessa,-999
Chaetodon_bennetti,20,Chaetodontidae,Corallivore,Reef,Chaetodon_bennetti,3.3
Chaetodon_capistratus,7.5,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_capistratus,-999
Chaetodon_citrinellus,13,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_citrinellus,3.1
Chaetodon_ephippium,30,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_ephippium,3.1
Chaetodon_facula,20,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_falcula,-999
Chaetodon_falcula,20,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_falcula,-999
Chaetodon_flavirostris,20,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_flavirostris,-999
Chaetodon_flavirostrus,20,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_flavirostris,-999
Chaetodon_flavocoronatus,12,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_flavocoronatus,-999
Chaetodon_fremblii,13,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_fremblii,3
Chaetodon_guttatissimus,12,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_guttatissimus,-999
Chaetodon_kleinii,15,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_kleinii,3.1
Chaetodon_lineolatus,30,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_lineolatus,3.3
Chaetodon_litus,15.5,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_litus,-999
Chaetodon_lunula,20,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_lunula,3.4
Chaetodon_lunulatus,14,Chaetodontidae,Corallivore,Reef,Chaetodon_lunulatus,-999
Chaetodon_madagaskariensis,13,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_madagaskariensis,3.1
Chaetodon_melannotus,18,Chaetodontidae,Corallivore,Reef,Chaetodon_melannotus,3.3
Chaetodon_mertensii,12.5,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_mertensii,-999
Chaetodon_meyeri,20,Chaetodontidae,Corallivore,Reef,Chaetodon_meyeri,-999
Chaetodon_miliaris,13,Chaetodontidae,Planktivore,Reef,Chaetodon_miliaris,3
Chaetodon_multicinctus,12,Chaetodontidae,Corallivore,Reef,Chaetodon_multicinctus,3.3
Chaetodon_ocellatus,20,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_ocellatus,3.2
Chaetodon_ocellicaudus,15,Chaetodontidae,Corallivore,Reef,Chaetodon_ocellicaudus,-999
Chaetodon_ornatissimus,20,Chaetodontidae,Corallivore,Reef,Chaetodon_ornatissimus,-999
Chaetodon_oxycephalus,25,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_oxycephalus,-999
Chaetodon_pelewensis,12.5,Chaetodontidae,Micro-invertivore,Reef,Chaetodon_pelewensis,-999
